groente:70
blik:77
vis:60
soep:140
vlees:50
sauzen:75
koffie:80
olie:120
pasta:100
beleg:45
zuivel:30
chips:150
brood:40
zeep:170
diepvries:160
schoonmaak:20
rijst:110
kruiden:76
dranken:10
cat1:42
meel:130
snoep:90
g1:123
mycategory:101
