groente:10
kruiden:20
pasta:30
vis:40
vlees:50
koeling:55
brood:60
beleg:70
koffie:80
blik:90
rijst:100
ei:105
meel:110
soep:120
sauzen:130
hagelslag:140
zuivel:145
toetjes:150
boter:155
dranken:160
chips:170
snoep:180
schoonmaak:190
zeep:200
diepvries:210
bakspullen:220
