dranken:10
schoonmaak:20
zuivel:30
brood:40
beleg:45
vlees:50
vis:60
groente:70
sauzen:75
kruiden:76
blik:77
koffie:80
snoep:90
pasta:100
rijst:110
olie:120
meel:130
soep:140
chips:150
diepvries:160
zeep:170
