sla:10
groente:20
pasta:30
kruiden:40
kip:50
vlees:60
vega:70
vis:80
koeling:90
brood:100
beleg:110
kwark:120
koffie:130
koekjes:140
suiker:150
blik:160
rijst:170
mixen:180
toetjes:190
soep:200
sauzen:210
hagelslag:220
bier:230
boter:240
wijn:250
bakspullen:260
diepvries:270
chips:280
chocola:290
diervoer:300
servies:310
shampoo:320
tandpasta:330
schoonmaak:340
